filename,audio_id,speaker_id,codec,attack_type,label
DF_E_2002519.flac,DF_E_2002519,TFF1,nocodec,vcc2020,fake
DF_E_2002516.flac,DF_E_2002516,VCC2TF1,low_m4a,vcc2018,fake
DF_E_2001990.flac,DF_E_2001990,VCC2TM1,oggm4a,vcc2018,fake
DF_E_2004416.flac,DF_E_2004416,LA_0023,high_ogg,asvspoof,fake
DF_E_2003653.flac,DF_E_2003653,VCC2TM2,high_mp3,vcc2018,fake
DF_E_2004213.flac,DF_E_2004213,TFF1,low_mp3,vcc2020,fake
DF_E_2000143.flac,DF_E_2000143,LA_0034,low_mp3,asvspoof,fake
DF_E_2002237.flac,DF_E_2002237,VCC2TF1,high_m4a,vcc2018,fake
DF_E_2003332.flac,DF_E_2003332,VCC2TM2,low_mp3,vcc2018,fake
DF_E_2004575.flac,DF_E_2004575,LA_0013,high_m4a,asvspoof,fake
DF_E_2000508.flac,DF_E_2000508,TFM1,nocodec,vcc2020,fake
DF_E_2002022.flac,DF_E_2002022,LA_0013,low_ogg,asvspoof,fake
DF_E_2004779.flac,DF_E_2004779,VCC2TF1,nocodec,vcc2018,fake
DF_E_2002535.flac,DF_E_2002535,TMM1,high_ogg,vcc2020,fake
DF_E_2001218.flac,DF_E_2001218,VCC2TF2,low_ogg,vcc2018,fake
DF_E_2003594.flac,DF_E_2003594,TGF1,nocodec,vcc2020,fake
DF_E_2003378.flac,DF_E_2003378,LA_0010,high_m4a,asvspoof,fake
DF_E_2000128.flac,DF_E_2000128,VCC2TM2,nocodec,vcc2018,fake
DF_E_2004787.flac,DF_E_2004787,TGM1,nocodec,vcc2020,fake
DF_E_2000216.flac,DF_E_2000216,TEM1,high_m4a,vcc2020,fake
DF_E_2003353.flac,DF_E_2003353,TMF1,oggm4a,vcc2020,fake
DF_E_2000662.flac,DF_E_2000662,VCC2TM2,oggm4a,vcc2018,fake
DF_E_2002688.flac,DF_E_2002688,TEM2,low_mp3,vcc2020,fake
DF_E_2002241.flac,DF_E_2002241,TEM1,oggm4a,vcc2020,fake
DF_E_2003357.flac,DF_E_2003357,TMM1,oggm4a,vcc2020,fake
DF_E_2001966.flac,DF_E_2001966,TEF2,nocodec,vcc2020,fake
DF_E_2003923.flac,DF_E_2003923,LA_0013,high_ogg,asvspoof,fake
DF_E_2002882.flac,DF_E_2002882,VCC2TM1,oggm4a,vcc2018,fake
DF_E_2004517.flac,DF_E_2004517,TEF2,low_m4a,vcc2020,fake
DF_E_2003259.flac,DF_E_2003259,VCC2TF1,mp3m4a,vcc2018,fake
DF_E_2001113.flac,DF_E_2001113,VCC2TF1,nocodec,vcc2018,fake
DF_E_2004364.flac,DF_E_2004364,TMM1,low_mp3,vcc2020,fake
DF_E_2002027.flac,DF_E_2002027,LA_0042,low_mp3,asvspoof,fake
DF_E_2000692.flac,DF_E_2000692,TEF1,nocodec,vcc2020,fake
DF_E_2003281.flac,DF_E_2003281,VCC2TM2,low_mp3,vcc2018,fake
DF_E_2002606.flac,DF_E_2002606,LA_0039,nocodec,asvspoof,fake
DF_E_2004775.flac,DF_E_2004775,LA_0028,high_mp3,asvspoof,fake
DF_E_2002772.flac,DF_E_2002772,LA_0043,mp3m4a,asvspoof,fake
DF_E_2002885.flac,DF_E_2002885,TEM2,oggm4a,vcc2020,fake
DF_E_2001262.flac,DF_E_2001262,TMF1,low_m4a,vcc2020,fake
DF_E_2004719.flac,DF_E_2004719,TGM1,oggm4a,vcc2020,fake
DF_E_2000223.flac,DF_E_2000223,TFF1,low_m4a,vcc2020,fake
DF_E_2003588.flac,DF_E_2003588,TMF1,high_ogg,vcc2020,fake
DF_E_2004537.flac,DF_E_2004537,TMM1,high_ogg,vcc2020,fake
DF_E_2003425.flac,DF_E_2003425,VCC2TM1,high_ogg,vcc2018,fake
DF_E_2004134.flac,DF_E_2004134,VCC2TF2,high_mp3,vcc2018,fake
DF_E_2002990.flac,DF_E_2002990,TEM1,low_ogg,vcc2020,fake
DF_E_2004410.flac,DF_E_2004410,TGF1,high_ogg,vcc2020,fake
DF_E_2000721.flac,DF_E_2000721,VCC2TM2,oggm4a,vcc2018,fake
DF_E_2002436.flac,DF_E_2002436,TMF1,high_ogg,vcc2020,fake
DF_E_2003785.flac,DF_E_2003785,LA_0015,high_mp3,asvspoof,fake
DF_E_2003703.flac,DF_E_2003703,TMF1,high_m4a,vcc2020,fake
DF_E_2000916.flac,DF_E_2000916,TGF1,low_ogg,vcc2020,fake
DF_E_2003698.flac,DF_E_2003698,LA_0001,high_mp3,asvspoof,fake
DF_E_2001618.flac,DF_E_2001618,LA_0008,low_m4a,asvspoof,fake
DF_E_2000926.flac,DF_E_2000926,TMM1,mp3m4a,vcc2020,fake
DF_E_2002947.flac,DF_E_2002947,TGM1,oggm4a,vcc2020,fake
DF_E_2003228.flac,DF_E_2003228,TGM1,high_ogg,vcc2020,fake
DF_E_2004508.flac,DF_E_2004508,LA_0047,oggm4a,asvspoof,fake
DF_E_2001620.flac,DF_E_2001620,VCC2TM1,low_m4a,vcc2018,fake
DF_E_2001243.flac,DF_E_2001243,TMF1,oggm4a,vcc2020,fake
DF_E_2004625.flac,DF_E_2004625,VCC2TF2,oggm4a,vcc2018,fake
DF_E_2004349.flac,DF_E_2004349,VCC2TF1,mp3m4a,vcc2018,fake
DF_E_2003345.flac,DF_E_2003345,TMM1,nocodec,vcc2020,fake
DF_E_2000127.flac,DF_E_2000127,LA_0046,mp3m4a,asvspoof,fake
DF_E_2003065.flac,DF_E_2003065,LA_0021,high_mp3,asvspoof,fake
DF_E_2004640.flac,DF_E_2004640,TFF1,high_m4a,vcc2020,fake
DF_E_2004826.flac,DF_E_2004826,VCC2TM2,low_ogg,vcc2018,fake
DF_E_2001932.flac,DF_E_2001932,TEF2,oggm4a,vcc2020,fake
DF_E_2003464.flac,DF_E_2003464,VCC2TF2,high_mp3,vcc2018,fake
DF_E_2002923.flac,DF_E_2002923,VCC2TM2,oggm4a,vcc2018,fake
DF_E_2000795.flac,DF_E_2000795,TEF1,low_ogg,vcc2020,fake
DF_E_2000349.flac,DF_E_2000349,TFF1,low_m4a,vcc2020,fake
DF_E_2004656.flac,DF_E_2004656,VCC2TM1,oggm4a,vcc2018,fake
DF_E_2000151.flac,DF_E_2000151,TEM2,low_mp3,vcc2020,fake
DF_E_2002793.flac,DF_E_2002793,TEM1,high_ogg,vcc2020,fake
DF_E_2004526.flac,DF_E_2004526,TEF2,low_ogg,vcc2020,fake
DF_E_2004891.flac,DF_E_2004891,VCC2TF1,high_mp3,vcc2018,fake
DF_E_2003015.flac,DF_E_2003015,VCC2TM2,low_mp3,vcc2018,fake
DF_E_2003181.flac,DF_E_2003181,TFF1,mp3m4a,vcc2020,fake
DF_E_2001677.flac,DF_E_2001677,VCC2TF1,low_mp3,vcc2018,fake
DF_E_2003917.flac,DF_E_2003917,VCC2TF1,high_mp3,vcc2018,fake
DF_E_2004046.flac,DF_E_2004046,TEF2,oggm4a,vcc2020,fake
DF_E_2003934.flac,DF_E_2003934,LA_0043,low_m4a,asvspoof,fake
DF_E_2004831.flac,DF_E_2004831,VCC2TM2,low_ogg,vcc2018,fake
DF_E_2003036.flac,DF_E_2003036,TEM2,nocodec,vcc2020,fake
DF_E_2000519.flac,DF_E_2000519,TFF1,high_m4a,vcc2020,fake
DF_E_2003533.flac,DF_E_2003533,VCC2TM1,low_mp3,vcc2018,fake
DF_E_2002651.flac,DF_E_2002651,VCC2TM2,low_mp3,vcc2018,fake
DF_E_2004873.flac,DF_E_2004873,TEF2,high_ogg,vcc2020,fake
DF_E_2004180.flac,DF_E_2004180,TFM1,low_mp3,vcc2020,fake
DF_E_2000528.flac,DF_E_2000528,TEF1,mp3m4a,vcc2020,fake
DF_E_2003109.flac,DF_E_2003109,VCC2TM1,oggm4a,vcc2018,fake
DF_E_2000459.flac,DF_E_2000459,TMF1,low_mp3,vcc2020,fake
DF_E_2001615.flac,DF_E_2001615,LA_0026,nocodec,asvspoof,fake
DF_E_2002396.flac,DF_E_2002396,TMF1,mp3m4a,vcc2020,fake
DF_E_2002299.flac,DF_E_2002299,TGF1,high_mp3,vcc2020,fake
DF_E_2003455.flac,DF_E_2003455,LA_0033,low_ogg,asvspoof,fake
DF_E_2000844.flac,DF_E_2000844,VCC2TM2,high_mp3,vcc2018,fake
DF_E_2000809.flac,DF_E_2000809,LA_0011,low_mp3,asvspoof,fake
DF_E_2004670.flac,DF_E_2004670,LA_0014,high_m4a,asvspoof,fake
DF_E_2000983.flac,DF_E_2000983,VCC2TF2,high_m4a,vcc2018,fake
DF_E_2000471.flac,DF_E_2000471,TFM1,high_mp3,vcc2020,fake
DF_E_2002687.flac,DF_E_2002687,VCC2TF1,nocodec,vcc2018,fake
DF_E_2003536.flac,DF_E_2003536,VCC2TM1,high_mp3,vcc2018,fake
DF_E_2000058.flac,DF_E_2000058,LA_0048,mp3m4a,asvspoof,fake
DF_E_2000106.flac,DF_E_2000106,LA_0008,low_ogg,asvspoof,fake
DF_E_2003666.flac,DF_E_2003666,VCC2TM2,high_m4a,vcc2018,fake
DF_E_2001639.flac,DF_E_2001639,VCC2TM2,mp3m4a,vcc2018,fake
DF_E_2000596.flac,DF_E_2000596,TGF1,oggm4a,vcc2020,fake
DF_E_2002075.flac,DF_E_2002075,VCC2TF1,low_m4a,vcc2018,fake
DF_E_2003503.flac,DF_E_2003503,TEF2,high_mp3,vcc2020,fake
DF_E_2000243.flac,DF_E_2000243,TMF1,oggm4a,vcc2020,fake
DF_E_2003502.flac,DF_E_2003502,LA_0039,high_ogg,asvspoof,fake
DF_E_2004422.flac,DF_E_2004422,VCC2TF2,nocodec,vcc2018,fake
DF_E_2002050.flac,DF_E_2002050,VCC2TF2,high_mp3,vcc2018,fake
DF_E_2002680.flac,DF_E_2002680,TGF1,low_ogg,vcc2020,fake
DF_E_2004552.flac,DF_E_2004552,TGF1,high_mp3,vcc2020,fake
DF_E_2000339.flac,DF_E_2000339,TMF1,high_mp3,vcc2020,fake
DF_E_2000356.flac,DF_E_2000356,TEM1,oggm4a,vcc2020,fake
DF_E_2000866.flac,DF_E_2000866,VCC2TM1,high_mp3,vcc2018,fake
DF_E_2004862.flac,DF_E_2004862,TGM1,low_m4a,vcc2020,fake
DF_E_2002527.flac,DF_E_2002527,TMF1,high_m4a,vcc2020,fake
DF_E_2003526.flac,DF_E_2003526,VCC2TM1,low_ogg,vcc2018,fake
DF_E_2001973.flac,DF_E_2001973,LA_0023,nocodec,asvspoof,fake
DF_E_2000943.flac,DF_E_2000943,VCC2TM1,nocodec,vcc2018,fake
DF_E_2004631.flac,DF_E_2004631,TGM1,low_mp3,vcc2020,fake
DF_E_2003303.flac,DF_E_2003303,TGF1,mp3m4a,vcc2020,fake
DF_E_2002830.flac,DF_E_2002830,TFF1,low_m4a,vcc2020,fake
DF_E_2000147.flac,DF_E_2000147,VCC2TF2,nocodec,vcc2018,fake
DF_E_2003872.flac,DF_E_2003872,LA_0040,mp3m4a,asvspoof,fake
DF_E_2004863.flac,DF_E_2004863,LA_0001,high_m4a,asvspoof,fake
DF_E_2000865.flac,DF_E_2000865,VCC2TF1,low_ogg,vcc2018,fake
DF_E_2003277.flac,DF_E_2003277,TEF2,oggm4a,vcc2020,fake
DF_E_2001714.flac,DF_E_2001714,LA_0022,low_ogg,asvspoof,fake
DF_E_2003264.flac,DF_E_2003264,TFF1,mp3m4a,vcc2020,fake
DF_E_2000694.flac,DF_E_2000694,VCC2TF1,high_m4a,vcc2018,fake
DF_E_2002281.flac,DF_E_2002281,TEM2,high_ogg,vcc2020,fake
DF_E_2000218.flac,DF_E_2000218,VCC2TF2,oggm4a,vcc2018,fake
